animal;id;experience;test;path
fish;2;23;3;НОФХША+ШХХША-ДССДШХЦЩКЛЖСЗККЗССЗЩЦХШДДШХЦЩЗССЗГ+ЗСЖЖТ
fish;2;23;4;НОФХША+А-ШХЦЩККГ+ЩЦХШДСР
fish;2;23;5;НОФХШДСЕБЛЛССР
fish;2;23;6;НОИЛЕСДА+ШХЦЦШХЗССЗГ+ЩЦХХХШДСР
fish;2;23;7;ПОООИКА+ККА-ШХЦЦХШДСЕЛИММИККЛЛИМККЛЖТ
fish;2;24;1;НОИКА+ДССДА-ККДССДКЛБЕРРЕЛИООМКГ+ККЩЦХХЦЩКЛЖТ
fish;2;24;2;НОФХША+ДССДА-ДССДШХЦЩГ+Г-ЩЦХША-КЛЕР
fish;2;24;3;ПОФХХЦЩГ+ККГ-ЗССЗГ-ЗССЗЦХШККА+ШХЦЩГ-ЦЗСТ
fish;2;24;4;НОМКГ+Г-ЗСТ
fish;2;24;5;НОМКГ+ЗССЗЩЦХХЦГ-ЗССЗГ-КЛЛККЛЖТ
fish;2;24;6;НОФХЦЩККЗССЗГ+ЗЗЩЦЦЩГ-КККЛЖТ
fish;2;24;7;НОФХША+ШХФМКГ+ККГ-ЩЦХХЦЩЗССЗЩЦХХЦЦХХЦЦХША-КЛЕР
fish;2;25;1;НОИКА+ШХФООИКА-ДСР
fish;2;25;2;ПОФХША+ККШХЦЩГ+ЗССЗКЛЖТ
fish;2;25;3;ПОМКГ+ЗССЗГ-ЗССЗЗСТТЖЛКЩЦХША+ДСР
fish;2;25;4;ПОММИКШХЦЩГ+ЩЦЦККЦХША+ККШХЦЦХША-КЛЕР
fish;2;25;5;НОМКЛЛКГ+ЗСЖЛЛЖССССССТ
fish;2;25;6;ПОФХШККШХЦЦХЦЦХХЦЦХХЦГ+ККЦХХЦГ-ЗСССССССТ
fish;2;25;7;НОИКДССДШХХША+ККШХЦЩГ+КККМЛЖТ
fish;2;26;1;НОФЩЦГ+ЩЦХША+ДСР
